Artist,Song,Lyrics,Class
Johnny Cash,You are my Sunshine Original,mountain region bluegrass string band music bluegrass string band music fiercely loyal audience american music follower look entertainment way life frequently makeup band family member life work kind devotion say lot value music history tradition hear hear true expression americana performer audience passionate find great presentation thesis entitle bluegrass nation historical cultural analysis true music discussion country bluegrass music ledge contribution family influential group country music history move emphasis hillbilly instrumental folk story song original group consist wife sister maybelle influence follow country folk music way unlikely bluegrass music exist today family contribution collect hundred appalachian folk song rearrange classic today record hundred song circle unbroken wildwood flower sunny good sense music build folk tradition country music foundation work build follow bluegrass well example today today foggy mountain breakdown foggy mountain boy sweet baby arm brother rocky short list recent great example bluegrass string music old crow medicine sweet old friend leave banjo company mountain string band music music history great place visit coastal plain region promise parent build fine house town end year struggle fulfillment record american soul music hit soul music 50 60 museum dedicate region country music hall museum core exhibition sing home journey country music immersion auditorium grand start like cash museum captivating real raw like cash ask old mtns bluegrass concert present month volcano room cavern feature pigeon forge think bluegrass country music museum tell story session recording include family artist list famous musician bear state home artist list song sampler music list long comprehensive think primer apology reader inclusion son republic state home  singer fiddler cannonball waltz country singer  going to miss country singer honeysuckle sweet fool songwriter singer baby lie guitarist songwriter slow man whip post singer songwriter midnight rider go country singer  know country singer walk know country singer musician amazing grace coo coo bird carpenter country singer go hell watch farmer daughter  rock band smokie trust proud redneck country rock singer musician sky ground difference singer composer poison thing remember country pop singer,Happy
Hank Williams Sr,1948,note contribution blue country rock bluegrass jazz topic let look song state song evening park get bus home job store trip home refuse follow bus driver instruction seat white passenger act defiance law seminal event civil right movement state try fight segregation finally defeat passage civil right act marche collectively large long distance marche civil right movement artist write song support civil right strike nerve song southern man respond sweet home extoll virtue state song defend segregation offer quiet resignation comment attitude governor sweet home state anthem love hate characterization state people hear response song redneck song turn liberal elitist view aside politic kind song song state song hear side sing loss alabama pine eagle tell similar story bridge road ram jam sing lead belly song love number subject band make clear love state home sing love state show love mobile favorite bar bama breeze finally sing sad song waste love angel country music revere coach win conference championship national championship retire die bear show love football roll tide roll show offer football like heartache example olive give lesson lonesome cry hear lonesome whistle good yodel lovesick blue time frame brother blue stay away reach way kind heartache leave baby new song bittersweet red dirt girl mobile explain like realize soon postcard kind heartache die young band write record ultimate southern heartache song night drive old heartache contentment little big town show play word song sober come girl crush mobile wordplay love song killin kind give simple sweet find finally band show love country music mountain music love home song south southern rock muscle shoal sound studio northwest corner state famous prolific music studio history list artist record impressive widely varied include staple singer roll stone found group musician call muscle shoal section swamper work elevate soul singer superstar love man way love story magical recording session roll stone wild horse love like rock step got to serve muscle shoal sound music studio crew famous southern rock band wet mobile shout bama rock drive trucker southern duality great icon rock midnight hour gospel soul blind boy perform gospel music popularity continue grow song like way hole find way carry shake bring new life soul music hold shoegaze broken bone add broken bone pocket change show southern soul devil learn show soul come dance street run hit home man love woman finally commodore close set funky brick house folk fry chicken dinner trimming stick ribs goodness bluegrass music popular act minute fame perform gold watch chain bluegrass band bluegrass twist old boy song baptize finally foggy hollow band chapel play traditional tune turn century lonesome pine blue jazz famous vocal jazz music show song day make female artist big legendary blue music show song like hound dog ball chain father blue song yellow dog blue song blue artist list famous musician artist list song sampler music list long comprehensive think primer find complete list member hall fame right band country mountain music song south close shake band soul blue rock southern rock hold alright shoegaze country singer talk tremble lip chance blind boy gospel singer find way carry way hole spirit sky jazz pianist pop singer unforgettable straighten fly right route brother country duo freight train boogie blue stay away handy blue composer musician blue yellow dog blue country singer bottle wine ballad runaway horse country singer find brother rock pianist whip post hungry woman soul singer land dance midnight hour vandella soul dance street run heat wave commodore soul funk time lady brick house easy,Happy
Johnny Cash,Daddy sang bass,time hard thing bad silver lining cloud poor people try living black land dirt family circle singe loud daddy sing sing tenor little brother join right singing help troubled soul day will long rejoin song go join family circle throne circle will break  sky sky remember work  hear singe country mile little brother go rejoin song yonder little songwriter,Happy
Andy Griffith,Darlings - There Is A Time,old evening news sure depressing world mess well terrorism fashion make love kill find well place live shadow bomb tune lifestyle rich greedy mayberry say f word thank rerun let jail help goober drive nail look bullet well watch toe wish life like deal soul airwave false prophet try buck old barber go trim hair be hear know cooking lamb turnip green dance darling pick sing dig worm fishing ya know tell round town meeting office going to try time big hassle make moonshine sit swinge porch easy mind maybe unreal old world blow hope end wish life like,Happy
Little Deuce Coupe,The Beach Boys,little deuce coupe know get know get know get brag babe deuce coupe get fast set wheel town deuce coupe come try deuce coupe 'cause set wing man know fly little deuce coupe little deuce coupe know get little deuce coupe flathead mill deuce coupe walk thunderbird like stand deuce coupe port relieve stroke bored end floor get competition clutch floor purr like kitten till lake pipe roar be flip lid thing get pink slip daddy come line light turn green deuce coupe blow water like see deuce coupe push shape hard steer deuce coupe rubber gear know,Happy
Frente!,Open Up Your Heart And Let The Sun Shine In,little kid know devil learn hate say cause trouble let room leave heart fill gloom let sun shine face grin smiler lose win open heart let sun shine unhappy devil wear grin start run light come pour know unhappy cause wear frown maybe smile tired hang round forget prayer devil jump glee feel awful awful see knee trouble win open heart let sun shine shine mommy tell little kid know devil learn hate forget prayer devil jump glee feel awful awful see knee feel trouble open heart let sun shine,Happy
Kitty Wells,Open Up Your Heart,fall um look dead soul like okay okay fall okay stay call okay pussy good get hook drug addict uh fall love like new patek uh tell love be good type nigga crack uh girl fix crack addict say bitch fix crack addict ooh okay excuse french uh bitch bitch uh bad bitch run tongue hip uh kitty kiss uh pussy power um powerful shit love um fuck eye close feel open eye woah overwhelmingly close leg close let love drug tryna catch overdose feel 'cause know damn feel real ride pop wheelie mean right get feeling right feel right mix dick liquor right uh love lick right uh parent get white people money know nigga right know nigga right afraid pull trigger right pull like trigger right shovel dig right fantasize put dick mouth time fight okay okay stay call okay fear fall love easy spear right heart sign truly want smoke pill pop fuck doobie phone love movie watch 'em time near record new iphone clearly have twin way cheat l l joke let stop kill syrup pill smoke real perc look like shoot dope feel feeling say good thumb family pray pray happy ending holy matrimony sin amen,Happy
Smash Mouth,All Star,somebody tell world going to roll be sharp tool shed look kind dumb finger thumb shape l forehead year start comin stop comin feed rule hit ground runnin sense live fun brain get smart head get dumb  wrong take backstreet know w w wacko shine glow hey star game play hey rock star pay glitter gold star break mold cool place get cold bundle wait til old meteor man beg differ judge hole satellite picture ice skate get pretty thin water get warm swim world fire way like bored glitter gold moon w wacko w w wacko moon shoot star somebody ask spare change gas need away place say yep concept use little fuel use little change know shoot star break,Happy
Mary Poppins," ""Supercalifragilisticexpialidocious""",ha word course word mistaken think go prove useful sung try express oneself frankly absurd leaf lengthy lexicon find perfect word little spontaneity keep conversation keen need find way precisely mean supercalifragilisticexpialidocious sound atrocious loud sound precocious um um mean mean exactly want stone age man chat simply grunt suffice hear word twice sure egyptian grasp jiff single pyramid bear hieroglyph  wild animal ferocious add flourish ah ah ah ah ah druid carve mighty monolith ancient certain myth sure roman empire enter abyss latin scholar word like softly effect check breath speak case course backwards tricky bloody good cat get tongue need dismay summon word get lot pick consonant vowel order ard spell r r a. f l l i. p. i. a. l. i. d i. smarty pant a. a. i. i. p. i. a. l. i. i.  sound atrocious,Happy
Aladdin,Friend Like Me,pleasure let order jot be friend like mickey drumming sir wish job big nabob be friend friend be friend like be friend like,Happy
Chordettes,Lollipop,  pop baby lollipop tell kiss sweet apple pie shaky rockin dance man get chance   sweet candy stick lime choice pick  crazy way thrill like lightning sky love kiss till straight gee lollipop great  ,Happy
Louis Armstrong,What A Wonderful World,tree green red rose bloom think wonderful world sky blue cloud white bright bless day dark sacred night color pretty sky face people go friend shake hand say say love hear baby cry watch grow learn know yes think ,Happy
Kirk Franklin,I Smile,dedicate song recession depression unemployment song today new day sunshine cloud dark heart feel like cold night today new day blue sky love joy promise tell alright honest give power explain fall like shower think well going to smile hurt smile know work smile  smile smile hard look sure hate look well smile smile day be gon perfect mean today purpose come today new day tell blue sky truth holy ghost power you hurt smile look well smile smile smile smile look well wait pray look mirror remember smile want happy happen want joy  ,Happy
Uncle Kracker,Smile,well good lucky linger light cool flip pillow right completely unaware compare send let know okay okay moment good time start fade smile like sun fall outta bed sing like bird dizzy head spin like record crazy night dance like fool forget breathe shine like gold buzz like bee thought drive wild smile go come like flower poke sidewalk crack like steal away rain know live cause time good inside eye smile ,Happy
Uncle Kracker,Drift Away,day day confused look light pourin rain know game hate lose feelin strain be shame beat boy free soul wanna lose rock roll drift away beat boy free soul will away beginnin think wastin time understand thing world outside look unkind countin carry mind free know melody feelin blue guitar come soothe thank joy give ooh joy give want know believe song rhythm harmony help strong strong wanna lose rock roll drift away drift away ooh beat boy free soul wanna lose rock roll drift away drift away wanna lose rock roll drift away drift away will will wanna drift away will away wanna drift away wanna drift away will home let drift away will,Happy
Train,Play That Song,play song make night long make think got to hey going to spin baby favorite record wait minute invite friend you round dolle let going to play song going to earn pay going to play song day say hey make stay til dawn make ooh hey going to strum girl hear song play cause love hook finger pick throw money cup let got to hesitate  wait till baby moo oo oo oo oo wait till baby moo oo oo come make night long make think make stay til dawn make ooh  got to,Happy
Zac Brown Band,Chicken Fried,know like chicken fry cold beer night pair jean fit right radio raise beneath shade pine home know sweet tea pecan pie homemade wine peach grow house talk fill love grow southern ground little bit chicken fry see sun rise love woman eye feel touch precious child know mother love funny little thing life mean live drive price tag clothe dollar sign piece mind come know agree drink raise glass toast little bit chicken fry thank life star stripe freedom forever fly let ring salute one die one life sacrifice thing love like chicken fry cold beer night little chicken fry see sun rise know mother,Happy
Uncle Kracker,Good To Be Me,be buzzin be stone ridin high blue sky like brother okay be going to let wreck day stylin handin sunshine get good reason damn feel good seat lay supreme alright street summer long damn get figure get worry worried like catch crazy happy disease buy cheap shade amoco station feel like vacation island  be funny time fly t supreme get particular place alpine pumpin soul rockin papa stone fresh pair kick old blue jean like catch  feel good damn feel,Happy
Kenny Chesney,When The Sun Goes Down,sun tanned toe tickle sand cold drink chilling right hand sleep evening light rest long long night sun go groove sun go feel right sun sink water get hot sun go day long takin easy lay hammock nice breezy sleep night cause sun go old guitar dark sunglass sweet concoction smooth molasse breathe day big moon rise time play feel alright hot sun go get hot sun go,Happy
The Proclaimers,I'm Gonna Be,wake know going to going to man wake know going to going to man go drunk know going to going to man get drunk haver know going to going to man walk mile walk man walk mile fall door workin yes know going to going to man workin hard money come work pass penny come home come home know going to going to man come home grow old know going to going to man growin old da da da da da da da da da da dum diddy lonely know going to going to man lonely dreamin know going to dream going to dream time know going to come home come home yes know going to going to man come home going to man comin home walk mile mile fall,Happy
Kid Rock,All Summer Long,thought short hair long catch boy man far summertime northern ah ah ah splash sand bar talk campfire simple thing life like internet man forget way moonlight shine hair try different thing smoke funny thing make love lake favorite song sipping whiskey bottle think tomorrow singe sweet home summer long catch walleye dock watch wave roll rock forever hold spot inside soul blister sun wait night come hit sand play rock roll try different thing strange leave begin change think day end hear song start sing think man love girl man love girl summer,Happy
Uncle Kracker,In A Little While,party game people play tell place beautiful people feel like go wrong belong feel like stranger town lose find turn little think little give reason doubt little think baby think baby coin face memory erase place find someday feel like slip away thing lose leave thing well leave find maybe time finally wonder wonder think lose find turn little think little think baby baby baby embe,Happy
Kid Rock,Cowboy,cowboy packin game head west real woman come equip script fake breast find nest hill chill like buy old drop find spot pimp kid rock ya block bottle scotch watch lot crotch buy yacht flag sayin rock bitch coast toast sun drink star throw mix toss outta bar sip want roam find tell fool come home start escort service right reason set shop season kid rock real head west sucker wanna baby let sunshine shinin wine wanna cowboy baby night 'cause sleep day smell pig mile away bet hear whistle train roll go whistle like dust wind stone stone freak stone mind lose blind palm tree weed scabbe knee rice map star find price right going to bid boy let ni know  kid rock sunset woman bottle see slimmy vette roll glass say dick fit right ass kiddin gun slingin spur hittin floor boss sauce whore remorse sheriff eye be right paint town red paint wife white cause chaos rock like find coast pussy like mayor ball like laker tell leave bet wanna pick lock snort away key be g regular failure be straight straight trailer cuss like sailor drink like mick word wisdom suck dick,Happy
Uncle Kracker,Nobody's Sad On A Saturday Night,sad night throw cheap sun glass blood shoot eye 'cause sad night southern comfort winner loser get world look well neon light 'cause sad night right tell story tell sad night leave say goodbye whoa whoa rock n roll rodeo southern comfort dancing babe get number 'cause sad,Happy
Steve Earle,Copperhead Road, daddy daddy hardly see grandaddy come town twice year buy pound yeast copper line everybody know moonshine revenue man want bad head holler time tell come road daddy run whiskey big block buy auction lodge sheriff paint shoot coat primer look inside uncle tear engine remember rumblin sound sheriff come middle night hear cryin know right head weekly load smell whiskey burnin road volunteer army birthday draft round tour duty come home brand new plan seed plant holler road get chopper air wake scream like learn thing know well stay away road road ,Happy
Mungo Jerry,In the summertime,uh uh uh summertime weather high stretch right touch sky weather fine get woman get woman mind drink drive find daddy rich meal daddy poor feel speed lane ton ton sun go good lay bad people dirty mean love everybody swimmin sea happy life philosophy sing dee dee dah dah hap happy dah dee dah dee dah dah dah dah dah dah dah alright alright dah dah dah dah alright winter party time bring bottle wear bright clothe soon summertime sing maybe settle rich nice bring friend town ,Happy
The Big Bopper,Little Red Riding Hood,little red ridin hood hey little red riding hood sure lookin good big bad wolf want listen little red ridin hood think little big girl spooky old wood big eye kind eye drive wolf mad chase think ought walk way lip sure lure bad untill grandma place think ought walk safe going to sheep suit till sure show trust little red ridin hood like hold think big bad wolf will big heart well love bad wolf good try satisfied walk close maybe thing way grandma place mean baa,Happy
School Days,Chuck Berry,see come morning chummy somebody new morning love know show break hearted feeling will away lonesome part blue school today lonely school day come school new deep sorrow lose lonely school day blue see eat lunch room right sit dine snug close enjoy pleasure talk hallway walk class leave evening home,Happy
Boogie Woogie Bugle Boy,The Andrews Sisters,boogie style play man craft number come go draft army blow reveille boogie woogie bugle boy company b blow bugle uncle bring jam captain understand day cap go draft band company jump play reveille root toot da toot blow bar boogie rhythm blow note bass guitar play make company jump play reveille boogie woogie bugle boy company b play boogie woogie bugle busy bee play make company jump bar blow bar blow note bass guitar company jump play reveille put boy sleep boogie night wake way early bright clap hand stamp foot know play give beat break play reveille boogie woogie bugle boy company b company jump play reveille boogie woogie bugle boy company,Happy
Dusty Springfield,Son of a preacher man,preacher son daddy visit come gather ´ round start talkin walkin yard look eye know surprise reach son preacher man boy teach yes ooh yes good easy matter hard try start sweet talkin come tell alright kiss tell alright away tonight yes know ooh yes remember look eye kiss sly time time  learnin knowin lookin grow yes reach sweet talkin son preacher man boy teach kiss son preacher man  sweet son preacher man groove son preacher,Happy
The Stray Cats,Rock This Town,11:1 people go scatter real wide tower pile high know right build see happen long ago get story chapter look genesis break build little place look half bad finish change tower force stop lot work plan language mix man cause go let find got to rock tower cause man proud leave get stop going to talk different 'cause going to mix 'em going to rock tower stop thing right lead babble talkin like realize understand anymore look pretty funny look real sight stay speak alike stop tower find different place start chorus note babel pronounce bull bay bull song pronounce bay bull sound like baby,Happy
The Trashmen,Surfin Bird - Bird is the Word,screenplay draft note hard copy script contain scene number remove soft copy note hard copy script font bookman old change preformatte text soft copy dusk finally happen freeze week arid snow fall beneath pristine white blanket city look uncharacteristically serene invite peace miraculously restore stranger wave salvation ring bell streetcorner night fall illuminated sign wink broad avenue shopping day leave till  street bustle jolly shopper souvenir store find exasperated mom squabble year old like storefront overflow t shirt key chain ceramic figurine kid wear baseball cap little black cape obviously want mom drag past store window metal sign read authentic fragment batwing panhandler perch entrance beneath array jacket grubby sweatshirt familiar yellow black logo winter later night hour later snowstorm grow fledge blizzard drift foot deep street car massive snow plow size panzer tank rumble past fill frame reveal pass group caroler bundle muffler parkas unbothered weather walk street singing spread cheer goodwill passersby go lovely capella rendition silent night oversized delivery truck outfit snow chain clank slowly past wake plow side decorate cartoon igloo advertise popular ice cream snack polar bar oddly inappropriate time year streetcorner bell bucket wave truck round corner violent explosion rock street follow sound automatic gunfire high wail security alarm moment night,Happy
Frank Sinatra,That's Life,life life people ride high shoot know going to change tune  say life life funny people kick stompin dream let let 'cause fine old world keep spin puppet pauper pirate poet pawn king know thing time find flat face pick race life life tell ya deny think quit baby heart be going to buy think worth single try jump right big bird fly time find lay flat face pick race life life life deny time think cut heart will buy shake come going to roll big ball die ,Happy
Roger Miller,The Hat,lid like tell tell find hat like hey old chap cap cap like hat hat topper topper get bread spend head hey herby derby hat like hey miss let ask find hat like,Happy
Paul Simon,You Can Call Me Al,man walk street say soft middle soft middle rest life hard need photo opportunity want shot redemption want end cartoon cartoon graveyard  dog moonlight far away light door  mutt away know find stuff amusing anymore bodyguard long lose pal   say short attention get short little span attention whoa night long wife family die role model role model go go duck alley roly poly little bat face girl  incident accident hint allegation  street strange world maybe world maybe time speak language hold currency foreign man surround sound sound cattle marketplace orphanage look see angel architecture spin infinity say amen     ,Happy
Zip,A- Dee-Doo-Dah,happen zip dee doo dah day kind day open mouth song jump right sung zip dee doo dah zip dee ay wonderful day plenty sunshine headin way shoulder truth actual  wonderful feeling wonderful day yes sir plenty sunshine head way zip dee doo dah zip dee truth actual hmm  wonderful feeling feel way truth actual spoken huh blue bird mm hmm  wonderful feeling wonderful,Happy
Heigh,Ho,dig dig dig dig dig dig dig day dig dig dig dig dig dig dig like be trick rich quick dig dig dig shovel pick  diamond shine early morn til night sight dig diamond score ruby know dig 'em dig dig dig dig dig heigh ho heigh ho heigh ho heigh heigh ho heigh ho home work heigh ho hum heigh ho heigh,Happy
Annie: It's the Hard,Knock Life,  ai go bundle laundry bag bundle police police lucky kid free fun free bet find folk like mom dad right bat hard knock life yes hard knock,Happy
Kid Rock,American Rock 'n Roll,midnight riding old seater roll boulevard headlight shine rusty fence pass rail yard black leather jacket night fire light lucky strike radio say walk wild get feel like wide open pedal kind thing little bit mo town smooth little bit blue sea emotion rain heart soul n roll banner courthouse fly proud red white blue waive corner smile cause feel like sit right oughta young land free get feel like little bit folsom blue little bit gangster smooth little bit delta blue little blue suede shoe n,Happy
Polly,Wolly-Doodle,wolly doodle go south sal sing wolly doodle day sally spunky gal chorus fare thee fare thee fare thee fairy  sal maiden fair curly eye laugh hair like watermelon year eat watermelon cause get ear grasshopper sit railroad track pickin tooth carpet tack barn knee think hear chicken sneeze sneeze hard whooping cough sneeze head tail right sing wolly doodle,Happy
Shirley Temple,Polly Wolly Doodle,sing wolly doodle day like watermelon wet ear sing wolly doodle day maybe grass taste good cow mouth like chicken 'cause south thee gloom way think going to worry stop sing wolly doodle day woodpecker peck till get fill woodpecker pay 'cause bill feed pig molasse yam sweet tho money bright sunny hate hear drop like hear lollypop go wrong turn right sky gray future bright day polly parrot know wolly tell know doodle come wolly doodle make darn good,Happy
Shirley Temple,This Is A Happy Little Ditty,happy little ditty know music pretty know word witty sing song change key matter lot silly chatter ho hum come patter go hill know music pretty word witty sing day long  lot silly chatter hold kid come patter old woman live shoe awful stuffy music pretty word witty hold come patter early bed early rise gal go guy music pretty sing day,Happy
Shirley Temple,You Gotta Eat your Spinach,miscellaneous got to eat spinach baby thing kinda healthy   nice strong strong long live long love,Happy
The Beatles,Ain't She Sweet,be sweet walk street yes ask confidentially be sweet be nice look twice yes ask confidentially be nice cast eye direction  be perfection repeat think kind neat walk street ask confidentially be,Happy
Shirley Temple,Hey! What Did The Blue Jay Say,genius user pick song year check  tie pioneer frontier clan apology live feel good battle cry angel haze radioactive remix imagine dragon everybody want rule world lorde lie sorry yg marvelous love l main mix tie  love run jewel fresh air gangsta  free dream father love promise  cold sweat quest erase run jewel darling cry   g unit nah talk bout wishin run jewel jeopardy see imperial q gangsta  fiasco thorn horn  till go streetlight day level sanctify stop future win drunk love remix coco  cold sweat kill   ,Happy
Shirley Temple," Get on Board, Little Children",memoir childhood  book dedicate brother learn admire love acknowledgment small hymn exaltation woman fan ember read early page encourage elegant novelist read pass agent think editor chief right person book road molly right daughter show life grand adventure exquisite moment granddaughter help recall small child wonder wife listen read cheer final page bless man  father mother stay meet marry bear instead return brother twin barely sister dead go look childhood wonder survive course miserable childhood happy childhood hardly worth bad ordinary miserable childhood miserable irish childhood bad miserable irish catholic childhood people brag whimper woe early year compare irish version poverty shiftless loquacious alcoholic father pious defeat mother moan fire pompous priest bully schoolmaster terrible thing long year wet great sheet rain gather drift slowly river settle forever rain dampen city feast circumcision new year eve create cacophony hack cough bronchial rattle asthmatic wheeze consumptive croak turn nose fountain lung bacterial sponge provoke cure galore ease catarrh boil onion milk blacken pepper congested passage paste boil flour nettle wrap rag slap sizzling chest wall glisten damp clothe dry tweed woolen coat house live thing sprout mysterious pub steam rise damp body garment inhale cigarette pipe smoke lace stale fume spill stout whiskey tinge odor piss waft outdoor man puke week wage rain drive church refuge strength dry place mass benediction huddle great damp clump doze priest drone steam rise clothe mingle sweetness incense flower candle gain reputation piety know rain father bear farm county like father grow wild trouble irish fight old desperate act wind fugitive price head child look father thinning hair collapse tooth wonder money head like father mother tell secret wee lad poor father drop head accident remember people drop head bit peculiar price head drop spirit cargo ship prohibition swing think die go hell sin discover speakeasy rejoice wander drink yearn peace decline year return erupt say pox house chat lady tempt delicacy wave away drank tea long smoke touch alcohol use time die mother grow slum mother brother sister see father run week birth night drink porter pub stagger lane singe favorite song throw overall chowder speak say loud dirty irish trick lick throw overall chowder great form altogether think play little year old lovely little fella love daddy laugh daddy throw air little paddy air dark dark miss child way poor little land head gurgle bit whimper go quiet grandma heave bed heavy child belly mother barely able lift little floor moan long moan child turn grandpa stay minute long hatchet drunken lunatic swing end rope grandpa stand ground like man right say stay house run melt whirl dervish damage child arm healthy stir inside stumble house lane stop till reach little pat uncle grow soft head left leg go way body learn read write bless way start sell newspaper age count money well exchequer know call abbot love mother trouble begin night bear grandmother bed heaving gasp labor pain pray patron saint expectant mother nurse midwife dress finery new year eve anxious child bear rush party celebration tell grandmother push push hurry child will bear till new year good new dress mind man woman time like saint arse grandmother switch prayer patron saint difficult labor child will come nurse tell grandmother pray patron saint desperate case patron desperate case help desperate grunt push infant head appear head mother stroke midnight new year erupt whistle horn siren brass band people call singing happy new year auld acquaintance forget church bell ring angelus nurse weep waste dress child finery come child grandma give great push child world lovely girl black curly hair sad blue eye ah say nurse child time straddler bear head new year arse old head old year arse new write missus find year child bear save dress year child name angelus ring midnight hour new year minute come little angel love childhood feeble old grey miss mother love till bury beneath clay learn read write calculate year schooling try hand skivvy maid little white hat opening door manage little curtsy require mother say knack pure useless room sort uselessness fare arrive time day great depression meet party give wife like like hangdog look come month spend jail hijack truck friend believe tell speakeasy truck pack roof case can pork bean know drive police see truck lurch jerk pull police search truck wonder hijack truck contain pork bean case button draw hangdog look lonely month jail bind knee,Happy
Shirley Temple,When I Grow Up,specially rain fraidy cat know grow pain gosh gee soon grow tall get think long small grow year happy like birdie tree lot want real dolly like woman shoe want teacher child teacher dear gang apple today big surprise bake kind pie roll eye  need company come grow sweet go ball lady like good wear dress silver lace princess curly like cept will run home early want meet handsome prince uniform gold will lose slipper 'cause tootsie cold talk queen dance king like little princess thing promise good wish look like picture see pretty story book little girl stand tiny carry basket look happy smile have lot fun wish like old stay home day far away think like like lady wall look nice comfy rock chair n little cap head look real pretty like long funny dress like hair quiet hear tick clock fun rock rock,Happy
Judy Garland,Lucky Day,cos lucky day lucky day boy lucky lucky lucky day clover glad wanna shout horray find horseshoe wrong course happen boy lucky lucky,Happy
Clint Holmes,Playground In My Mind,love find close eye soon find playground mind child laugh child play sing song day  get nickel get nickel shiny new going to buy kind candy going to wonder find playground mind world close eye follow sing song day girl marry going to baby going to let visit grandma going to little child live world leave happy little child play happy la embe,Happy
The Sweet,Little Willy,yellow rise going to miss half cry leave like broke heart find sweet little rosebud know eye bright diamond sparkle like dew talk clementine sing yellow rise girl flowin starry sky bright walk river quiet summer night know remember part long ago promise return leave going to find heart woe thing long ago play banjo gaily love like yellow rise shall forevermore yellow rise girl,Happy
Clint Holmes,Shiddle-Ee-Dee, couple word fun sing loud old key world wrong singe ee dee dog come wanna feed dumb lie scratch flea ought come singe sing happy sing lonely sing get secret happy try repeat easy agree friend unhappy time relax moment tree look happy free stop moment sing sing loud old key ee dee sing  easy sing,Happy
